"","Substrate","Species","mz"
"153","C99","Ab11_39",3053.53216347884
"154","C99","Ab11_40",3152.67058874295
"155","C99","Ab11_41",3265.80232878855
"156","C99","Ab11_42",3336.87420816358
"157","C99","Ab11_43",3437.98021697017
"158","C99","Ab11_44",3537.10447708223
"159","C99","Ab11_45",3650.29236052149
"160","C99","Ab11_46",3749.38802295821
"161","C99","Ab11_47",3862.56985608713
"162","C99","Ab11_48",3963.66363167542
"163","C99","Ab11_49",4076.85324725549
"164","C99","Ab17_23",840.930112277276
"165","C99","Ab17_24",940.083966304164
"166","C99","Ab17_25",997.119892485037
"167","C99","Ab17_26",1084.20860560708
"168","C99","Ab17_27",1198.30691334755
"169","C99","Ab17_28",1326.47684973802
"170","C99","Ab17_29",1383.53527641802
"171","C99","Ab17_30",1454.60958592764
"172","C99","Ab17_31",1567.76393075769
"173","C99","Ab17_32",1680.92583086681
"174","C99","Ab17_33",1737.97755282338
"175","C99","Ab17_34",1851.14234876944
"176","C99","Ab17_35",1982.32915745343
"177","C99","Ab17_36",2081.45560527729
"178","C99","Ab17_37",2138.50786602713
"179","C99","Ab17_38",2195.56546489143
"180","C99","Ab17_39",2294.71591804979
"181","C99","Ab17_40",2393.83253204442
"182","C99","Ab17_41",2507.0191407918
"183","C99","Ab17_42",2578.08416581525
"184","C99","Ab17_43",2679.1557526751
"185","C99","Ab17_44",2778.28203042802
"186","C99","Ab17_45",2891.46452101564
"187","C99","Ab17_46",2990.58914038199
"188","C99","Ab17_47",3103.72475039397
"189","C99","Ab17_48",3204.83816738063
"190","C99","Ab17_49",3318.01119296529
"191","C99","Ab19_23",628.653888888889
"192","C99","Ab19_24",727.785093155648
"193","C99","Ab19_25",784.831718651345
"194","C99","Ab19_26",871.908871823002
"195","C99","Ab19_27",986.026953774337
"196","C99","Ab19_28",1114.19390971489
"197","C99","Ab19_29",1171.23471312753
"198","C99","Ab19_30",1242.32029028082
"199","C99","Ab19_31",1355.45213093167
"200","C99","Ab19_32",1468.63342522369
"201","C99","Ab19_33",1525.69497356052
"202","C99","Ab19_34",1638.84876149459
"203","C99","Ab19_35",1770.04073886499
"204","C99","Ab19_36",1869.14271504557
"205","C99","Ab19_37",1926.2400197887
"206","C99","Ab19_38",1983.28018665234
"207","C99","Ab19_39",2082.39706814156
"208","C99","Ab19_40",2181.53702203773
"209","C99","Ab19_41",2294.71018994165
"210","C99","Ab19_42",2365.78378439305
"211","C99","Ab19_43",2466.87902112994
"212","C99","Ab19_44",2566.02584960144
"213","C99","Ab19_45",2679.14988708345
"214","C99","Ab19_46",2778.31521432954
"215","C99","Ab19_47",2891.4403252343
"216","C99","Ab19_48",2992.57539774476
"217","C99","Ab19_49",3105.69179658665
"218","C99","Ab1_23Ox",2793.94421701154
"219","C99","Ab1_24Ox",2893.06555413271
"220","C99","Ab1_25Ox",2950.11671613291
"221","C99","Ab1_26Ox",3037.18841197111
"222","C99","Ab1_27Ox",3151.29539429237
"223","C99","Ab1_28Ox",3279.4653784073
"224","C99","Ab1_29Ox",3336.53756891964
"225","C99","Ab1_30Ox",3407.58155937981
"226","C99","Ab1_31Ox",3520.77946017154
"227","C99","Ab1_32Ox",3633.91277359472
"228","C99","Ab1_33Ox",3690.96464193715
"229","C99","Ab1_34Ox",3804.12290385143
"230","C99","Ab1_35Ox",3935.30957526989
"231","C99","Ab1_36Ox",4034.45469881011
"232","C99","Ab1_37Ox",4091.48017607957
"233","C99","Ab1_38Ox",4148.55425921465
"234","C99","Ab1_39Ox",4247.72309635885
"235","C99","Ab1_40Ox",4346.85787595698
"236","C99","Ab1_41Ox",4459.97898302207
"237","C99","Ab1_42Ox",4531.05695963252
"238","C99","Ab1_43Ox",4632.18351588039
"239","C99","Ab1_44Ox",4731.28838921006
"240","C99","Ab1_45Ox",4844.4453618601
"241","C99","Ab1_46Ox",4943.59655452644
"242","C99","Ab1_47Ox",5056.76930930481
"243","C99","Ab1_48Ox",5157.84431965841
"244","C99","Ab1_49Ox",5270.99736019178
"245","C99","Ab2_23Ox",2678.86017804979
"246","C99","Ab2_24Ox",2777.96747740041
"247","C99","Ab2_25Ox",2835.0366610368
"248","C99","Ab2_26Ox",2922.13667116427
"249","C99","Ab2_27Ox",3036.20435209653
"250","C99","Ab2_28Ox",3164.37769248344
"251","C99","Ab2_29Ox",3221.41973955556
"252","C99","Ab2_30Ox",3292.48629492958
"253","C99","Ab2_31Ox",3405.69870247547
"254","C99","Ab2_32Ox",3518.82779663182
"255","C99","Ab2_33Ox",3575.8947463446
"256","C99","Ab2_34Ox",3689.04896983871
"257","C99","Ab2_35Ox",3820.24402754407
